city,temp,lat,lng,humidity,cloudiness,wind_speed,country,date
Cherskiy,9.94,68.75,161.3,54,99,3.23,RU,1657878683
Ahipara,11.77,-35.1667,173.1667,82,100,3.11,NZ,1657878796
Prince George,13.28,53.9166,-122.753,99,75,1.54,CA,1657878798
Riviere-au-Renard,14.16,48.9957,-64.3971,85,100,4.23,CA,1657878800
Pantai Remis,32.79,4.4557,100.6288,65,100,3.45,MY,1657878802
Qaryat Sulūq,29.73,31.6682,20.2521,37,0,6.3,LY,1657878805
Malatya Province,29.03,38.5,38.0,29,0,2.06,TR,1657878807
Luena,23.72,-11.7833,19.9167,28,0,3.79,AO,1657878809
Polunochnoye,29.44,60.8697,60.4153,41,88,2.51,RU,1657878811
Constitución,7.32,-35.3333,-72.4167,85,100,2.4,CL,1657878547
Ambikāpur,31.24,23.1167,83.2,55,86,5.22,IN,1657878338
Comodoro Rivadavia,1.92,-45.8667,-67.5,87,75,6.17,AR,1657878817
Mayo,21.08,38.8876,-76.5119,89,40,0.0,US,1657878819
Puerto Madryn,4.67,-42.7692,-65.0385,96,100,8.19,AR,1657878821
Apaţa,31.2,45.95,25.5167,26,42,4.05,RO,1657878824
Chumikan,12.85,54.7183,135.315,98,100,2.75,RU,1657878826
Ketchikan,13.26,55.3422,-131.6461,94,100,5.66,US,1657878828
Arona,20.18,28.0996,-16.681,67,20,6.17,ES,1657878830
Kiryat Gat,31.6,31.61,34.7642,25,5,5.9,IL,1657878832
Tuktoyaktuk,2.32,69.4541,-133.0374,85,100,8.09,CA,1657878834
Vila Velha,19.41,-20.3297,-40.2925,98,40,1.54,BR,1657878837
Balad,44.56,34.0164,44.1453,10,0,4.89,IQ,1657878839
Chalchihuites,14.43,23.4833,-103.8833,73,9,2.68,MX,1657878841
Alice Springs,13.75,-23.7,133.8833,23,0,4.12,AU,1657878843
Atikokan,12.29,48.7555,-91.6216,71,100,1.38,CA,1657878845
Lompoc,14.06,34.6391,-120.4579,90,100,3.09,US,1657878849
Pacific Grove,12.87,36.6177,-121.9166,90,1,4.47,US,1657878853
Cabo San Lucas,27.56,22.8909,-109.9124,68,62,4.78,MX,1657878855
Pa Sang,31.84,18.5262,98.9394,77,89,1.24,TH,1657878858
Rayong,29.85,12.8333,101.4333,99,100,3.46,TH,1657878679
Goderich,9.18,43.7501,-81.7165,93,0,2.06,CA,1657878863
Phonhong,28.52,18.5007,102.4166,89,100,1.06,LA,1657878865
Silvânia,14.85,-16.6589,-48.6081,63,98,2.73,BR,1657878867
Gouyave,25.43,12.1646,-61.7296,94,75,2.06,GD,1657878869
Olafsvik,10.42,64.8945,-23.7142,75,100,4.88,IS,1657878871
Vao,20.71,-22.6667,167.4833,63,53,7.34,NC,1657878873
Cidreira,16.27,-30.1811,-50.2056,97,100,3.04,BR,1657878875
Southbridge,15.14,42.0751,-72.0334,95,13,1.94,US,1657878878
Boyolangu,24.72,-8.1181,111.8935,87,74,3.66,ID,1657878880
Mount Gambier,9.33,-37.8333,140.7667,75,100,3.33,AU,1657878664
Ndélé,27.88,8.4109,20.6473,64,88,2.51,CF,1657878884
Yablonovo,25.89,50.8523,37.3574,41,20,5.1,RU,1657878886
Korsakovo,22.43,53.2677,37.3569,51,6,4.39,RU,1657878888
Buckeye,31.37,33.3703,-112.5838,55,100,2.52,US,1657878890
Zhuhai,31.25,22.2769,113.5678,79,20,5.66,CN,1657878826
Olinda,22.85,-8.0089,-34.8553,88,20,3.6,BR,1657878895
Bouar,23.35,5.934,15.596,81,99,2.26,CF,1657878897
Tasiilaq,5.89,65.6145,-37.6368,76,100,8.32,GL,1657878899
Savé,25.61,8.0425,2.486,80,96,4.26,BJ,1657878901
Eydhafushi,28.77,5.1033,73.0708,73,100,5.2,MV,1657878903
Chuka,25.12,-0.3332,37.6459,44,73,3.36,KE,1657878905
Chemal,13.33,51.4111,86.005,90,100,2.31,RU,1657878908
Salinópolis,25.48,-0.6136,-47.3561,86,31,4.64,BR,1657878910
Antalaha,25.32,-14.9003,50.2788,61,29,6.24,MG,1657878912
Kununurra,18.99,-15.7667,128.7333,45,56,0.0,AU,1657878914
Maniitsoq,5.99,65.4167,-52.9,82,1,3.18,GL,1657878916
Cockburn Town,27.46,21.4612,-71.1419,76,84,8.78,TC,1657878918
Nouadhibou,21.99,20.931,-17.0347,83,3,6.17,MR,1657878920
Anaconda,16.42,46.1285,-112.9423,58,1,1.74,US,1657878925
Timizart,32.44,36.8,4.2667,29,0,2.83,DZ,1657878927
Bodden Town,25.64,19.2833,-81.25,85,100,5.02,KY,1657878929
